JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458834.62185,13.922,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.122,Z,18.565,18.171,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.62684,13.916,0.009,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.108,Z,18.564,18.172,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.63183,13.936,0.009,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.094,Z,18.563,18.177,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.63683,13.939,0.009,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.082,Z,18.542,18.161,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.64182,13.935,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.071,Z,18.563,18.171,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.64681,13.923,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.061,Z,18.562,18.175,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.65181,13.937,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.052,Z,18.548,18.165,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.65679,13.937,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.044,Z,18.528,18.151,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.66179,13.956,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.037,Z,18.545,18.168,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.66678,13.937,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.030,Z,18.556,18.170,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.67178,13.945,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.025,Z,18.536,18.146,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.67678,13.959,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.020,Z,18.528,18.154,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.68179,13.977,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.017,Z,18.538,18.161,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.68713,13.973,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.014,Z,18.511,18.158,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.69248,13.972,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.011,Z,18.533,18.168,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.69782,13.981,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.010,Z,18.528,18.160,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.70317,13.973,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.010,Z,18.517,18.149,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.70836,13.992,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.011,Z,18.486,18.157,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.71376,13.990,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.012,Z,18.477,18.159,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.71917,14.001,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.014,Z,18.496,18.169,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
