JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458839.74410,13.932,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.061,Z,18.520,18.153,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.74590,13.913,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.064,Z,18.528,18.157,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.74773,13.934,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.068,Z,18.524,18.157,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.74956,13.940,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.072,Z,18.524,18.153,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.75138,13.910,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.076,Z,18.523,18.147,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.75322,13.913,0.012,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.080,Z,18.523,18.144,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.75502,13.915,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.084,Z,18.528,18.149,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.75686,13.910,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.089,Z,18.524,18.159,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.75869,13.943,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.093,Z,18.517,18.162,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.76050,13.944,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.098,Z,18.511,18.151,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
