HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457447.61886,2016-02-29.1177118,be,1.51,16.308,13.665,0.019,13.123,0.231,V
2457452.65284,2016-03-05.1519693,be,1.57,16.189,13.643,0.021,13.385,0.257,V
2457452.65412,2016-03-05.1532449,be,1.60,16.146,13.679,0.022,12.946,0.269,V
2457452.65541,2016-03-05.1545377,be,1.60,15.948,13.654,0.026,13.251,0.325,V
2457456.53802,2016-03-09.0373655,be,1.51,16.242,13.625,0.020,13.615,0.245,V
2457456.53931,2016-03-09.0386523,be,1.47,16.249,13.644,0.020,13.372,0.244,V
2457456.54059,2016-03-09.0399394,be,1.49,16.213,13.634,0.020,13.494,0.252,V
2457460.61187,2016-03-13.1114525,be,1.70,16.202,13.653,0.021,13.267,0.254,V
2457460.61316,2016-03-13.1127378,be,1.71,16.254,13.656,0.020,13.227,0.243,V
2457460.61443,2016-03-13.1140121,be,1.70,16.258,13.632,0.019,13.516,0.242,V
2457462.56418,2016-03-15.0638730,be,1.63,15.984,13.639,0.025,13.441,0.311,V
2457462.56546,2016-03-15.0651475,be,1.60,15.901,13.658,0.028,13.204,0.336,V
2457462.56674,2016-03-15.0664359,be,1.62,15.905,13.646,0.027,13.350,0.334,V
2457463.54371,2016-03-16.0434642,be,2.12,16.138,13.659,0.022,13.185,0.271,V
2457463.54500,2016-03-16.0447504,be,2.11,16.174,13.634,0.021,13.509,0.263,V
2457463.54629,2016-03-16.0460369,be,2.10,16.155,13.651,0.022,13.293,0.268,V
2457464.54239,2016-03-17.0422008,be,1.78,15.564,13.694,0.039,12.768,0.457,V
2457464.54373,2016-03-17.0435370,be,1.89,15.539,13.568,0.036,14.345,0.469,V
2457464.54502,2016-03-17.0448281,be,1.86,15.813,13.703,0.031,12.673,0.364,V
2457466.60942,2016-03-19.1093508,be,1.64,15.760,13.587,0.029,14.105,0.383,V
2457466.61035,2016-03-19.1102800,be,1.66,15.720,13.662,0.033,13.159,0.396,V
2457466.61130,2016-03-19.1112318,be,1.68,15.627,13.594,0.034,14.010,0.432,V
2457468.55918,2016-03-21.0592180,be,1.55,16.019,13.693,0.026,12.791,0.301,V
2457468.56047,2016-03-21.0605071,be,1.52,15.914,13.621,0.026,13.660,0.332,V
2457468.56176,2016-03-21.0617965,be,1.55,15.974,13.694,0.027,12.778,0.314,V
2457470.60013,2016-03-23.1002899,be,1.59,15.766,13.647,0.031,13.344,0.381,V
2457470.60142,2016-03-23.1015799,be,1.60,15.711,13.599,0.031,13.942,0.400,V
2457470.60272,2016-03-23.1028793,be,1.67,15.690,13.653,0.033,13.265,0.407,V
2457473.59424,2016-03-26.0945761,be,1.55,15.972,13.634,0.025,13.498,0.314,V
2457473.59554,2016-03-26.0958737,be,1.55,15.955,13.615,0.025,13.737,0.319,V
2457473.59683,2016-03-26.0971620,be,1.53,15.941,13.631,0.026,13.545,0.323,V
2457475.58757,2016-03-28.0880105,be,1.51,16.080,13.623,0.023,13.637,0.285,V
2457475.58885,2016-03-28.0892989,be,1.53,16.066,13.639,0.023,13.439,0.288,V
2457475.59014,2016-03-28.0905880,be,1.53,16.094,13.615,0.022,13.730,0.281,V
