JD,HJD,UT_date,FWHM,Diff,Limit,mag,mag_err,Filter
2458101.764,2458101.767,2017-12-14.2639559,1.53,-1.86,16.891,14.218,0.019,g
2458102.552,2458102.555,2017-12-15.0514983,1.54,-1.6,17.039,14.209,0.016,g
2458103.525,2458103.529,2017-12-16.0253563,1.47,-1.6,17.04,14.218,0.016,g
2458103.761,2458103.764,2017-12-16.2605920,1.6,-1.86,16.894,14.236,0.019,g
2458105.754,2458105.758,2017-12-18.2541516,1.53,-1.86,16.906,14.226,0.018,g
2458107.514,2458107.518,2017-12-20.0141706,1.66,-1.6,17.029,14.229,0.016,g
2458110.734,2458110.737,2017-12-23.2339954,1.56,-1.86,16.9,14.218,0.018,g
2458111.513,2458111.517,2017-12-24.0133071,1.57,-1.6,17.038,14.199,0.016,g
2458112.499,2458112.502,2017-12-24.9986659,1.6,-1.6,17.031,14.201,0.016,g
2458112.729,2458112.732,2017-12-25.2285170,1.67,-1.86,16.88,14.221,0.019,g
2458113.728,2458113.732,2017-12-26.2281631,1.56,-1.86,16.879,14.218,0.019,g
2458114.495,2458114.498,2017-12-26.9945108,1.49,-1.6,17.029,14.206,0.016,g
2458115.422,2458115.425,2017-12-27.9218348,1.57,-1.6,17.007,14.214,0.017,g
2458116.72,2458116.723,2017-12-29.2198523,1.58,-1.86,16.716,14.224,0.022,g
2458118.727,2458118.73,2017-12-31.2265550,1.75,-1.86,16.665,14.21,0.023,g
2458121.764,2458121.767,2018-01-03.2638471,1.79,-1.86,16.627,14.228,0.024,g
2458123.481,2458123.484,2018-01-04.9809134,1.6,-1.6,16.953,14.202,0.017,g
2458124.526,2458124.53,2018-01-06.0264114,2.08,-1.6,16.98,14.188,0.017,g
2458125.542,2458125.546,2018-01-07.0423917,2.05,-1.6,16.99,14.204,0.017,g
2458125.657,2458125.66,2018-01-07.1570094,1.43,-1.45,17.104,14.213,0.015,g
2458127.664,2458127.668,2018-01-09.1644112,1.48,-1.45,17.096,14.213,0.015,g
2458128.661,2458128.664,2018-01-10.1606099,1.42,-1.45,17.097,14.208,0.015,g
2458129.639,2458129.642,2018-01-11.1386954,1.45,-1.45,17.092,14.231,0.016,g
2458132.66,2458132.663,2018-01-14.1599788,1.74,-1.45,17.095,14.213,0.015,g
2458133.656,2458133.66,2018-01-15.1564552,1.79,-1.45,17.105,14.212,0.015,g
2458134.653,2458134.656,2018-01-16.1525414,1.42,-1.45,17.111,14.208,0.015,g
2458135.655,2458135.658,2018-01-17.1553805,1.43,-1.45,17.109,14.216,0.015,g
2458136.65,2458136.653,2018-01-18.1500267,1.44,-1.45,17.1,14.194,0.015,g
2458137.655,2458137.658,2018-01-19.1547579,1.38,-1.45,17.1,14.204,0.015,g
2458138.651,2458138.654,2018-01-20.1508171,1.45,-1.45,17.101,14.187,0.015,g
2458139.665,2458139.668,2018-01-21.1651866,1.45,-1.45,17.108,14.2,0.015,g
2458140.669,2458140.672,2018-01-22.1690618,1.41,-1.45,17.107,14.204,0.015,g
2458141.645,2458141.648,2018-01-23.1448201,1.53,-1.86,16.895,14.223,0.019,g
2458141.673,2458141.675,2018-01-23.1725521,1.42,-1.45,17.106,14.205,0.015,g
2458142.639,2458142.642,2018-01-24.1386881,1.57,-1.86,16.883,14.226,0.019,g
2458143.635,2458143.638,2018-01-25.1353640,1.57,-1.86,16.847,14.221,0.019,g
2458144.65,2458144.653,2018-01-26.1504571,1.7,-1.86,16.766,14.218,0.021,g
2458145.636,2458145.639,2018-01-27.1360048,2.14,-1.86,16.783,14.243,0.021,g
2458146.637,2458146.64,2018-01-28.1368292,1.64,-1.86,16.663,14.198,0.022,g
2458147.728,2458147.731,2018-01-29.2279351,1.58,-1.86,16.59,14.228,0.025,g
2458153.585,2458153.588,2018-02-04.0853855,1.37,-1.45,17.088,14.195,0.015,g
2458153.74,2458153.742,2018-02-04.2395792,1.57,-1.86,16.791,14.198,0.02,g
2458154.734,2458154.736,2018-02-05.2340103,1.69,-1.86,16.868,14.239,0.019,g
2458155.362,2458155.364,2018-02-05.8621347,1.62,-1.6,17.003,14.178,0.016,g
2458156.355,2458156.357,2018-02-06.8550578,1.5,-1.6,17.04,14.218,0.016,g
2458157.367,2458157.369,2018-02-07.8668327,1.51,-1.6,17.04,14.217,0.016,g
2458157.657,2458157.659,2018-02-08.1571468,1.65,-1.45,17.102,14.206,0.015,g
2458158.361,2458158.363,2018-02-08.8610031,1.47,-1.6,17.034,14.208,0.016,g
2458158.649,2458158.651,2018-02-09.1491539,1.53,-1.45,17.104,14.218,0.015,g
2458159.641,2458159.643,2018-02-10.1412037,1.45,-1.45,17.09,14.211,0.015,g
2458160.351,2458160.354,2018-02-10.8514107,2.21,-1.6,17.025,14.233,0.017,g
2458160.633,2458160.635,2018-02-11.1331457,1.54,-1.45,17.095,14.189,0.015,g
2458161.599,2458161.601,2018-02-12.0988026,1.42,-1.45,17.104,14.203,0.015,g
2458162.602,2458162.604,2018-02-13.1024078,1.38,-1.45,17.107,14.215,0.015,g
2458163.594,2458163.596,2018-02-14.0937693,1.4,-1.45,17.089,14.196,0.015,g
2458164.601,2458164.603,2018-02-15.1007865,1.43,-1.45,17.102,14.204,0.015,g
2458165.332,2458165.334,2018-02-15.8317438,1.8,-1.6,17.025,14.197,0.016,g
2458166.348,2458166.349,2018-02-16.8476435,1.64,-1.6,17.032,14.197,0.016,g
2458167.347,2458167.349,2018-02-17.8471910,2.06,-1.6,17.028,14.195,0.016,g
2458167.625,2458167.627,2018-02-18.1253878,1.58,-1.45,17.094,14.187,0.015,g
2458168.345,2458168.346,2018-02-18.8447451,1.46,-1.6,17.032,14.199,0.016,g
2458169.35,2458169.351,2018-02-19.8495831,1.48,-1.6,17.029,14.218,0.016,g
2458169.523,2458169.525,2018-02-20.0232508,1.37,-1.45,17.103,14.203,0.015,g
2458170.326,2458170.327,2018-02-20.8258531,1.46,-1.6,17.041,14.21,0.016,g
2458170.591,2458170.593,2018-02-21.0909787,1.57,-1.86,16.892,14.225,0.019,g
2458170.593,2458170.595,2018-02-21.0933107,1.44,-1.45,17.073,14.215,0.016,g
2458171.595,2458171.596,2018-02-22.0945547,1.67,-1.86,16.869,14.226,0.019,g
2458171.63,2458171.632,2018-02-22.1302973,1.44,-1.45,17.084,14.223,0.016,g
2458173.606,2458173.608,2018-02-24.1063964,1.57,-1.86,16.831,14.221,0.02,g
2458174.591,2458174.593,2018-02-25.0912984,1.62,-1.86,16.797,14.226,0.02,g
2458174.672,2458174.673,2018-02-25.1720466,1.53,-1.45,17.016,14.216,0.016,g
2458175.642,2458175.643,2018-02-26.1416055,1.5,-1.45,16.984,14.181,0.016,g
2458175.656,2458175.658,2018-02-26.1562115,1.53,-1.86,16.736,14.252,0.022,g
2458176.552,2458176.553,2018-02-27.0515471,1.43,-1.45,16.971,14.189,0.017,g
2458176.619,2458176.62,2018-02-27.1188571,1.69,-1.86,16.633,14.223,0.024,g
2458177.595,2458177.597,2018-02-28.0953028,1.52,-1.45,16.617,14.186,0.023,g
2458180.656,2458180.657,2018-03-03.1563079,1.62,-1.45,16.807,14.187,0.019,g
2458180.658,2458180.659,2018-03-03.1580034,1.69,-1.86,16.671,14.216,0.023,g
2458181.644,2458181.645,2018-03-04.1436284,1.5,-1.45,16.918,14.175,0.017,g
2458182.271,2458182.272,2018-03-04.7713883,1.53,-1.6,17.027,14.194,0.016,g
2458182.65,2458182.651,2018-03-05.1505026,1.51,-1.45,16.972,14.198,0.017,g
2458183.293,2458183.294,2018-03-05.7926695,1.51,-1.6,17.033,14.21,0.016,g
2458183.646,2458183.647,2018-03-06.1461149,1.5,-1.45,16.944,14.188,0.017,g
2458184.307,2458184.308,2018-03-06.8069939,1.51,-1.6,17.018,14.238,0.017,g
2458184.626,2458184.627,2018-03-07.1263703,1.38,-1.45,17.071,14.203,0.015,g
2458185.307,2458185.308,2018-03-07.8070224,1.4,-1.6,17.034,14.219,0.016,g
2458185.641,2458185.642,2018-03-08.1409138,1.45,-1.45,17.084,14.205,0.015,g
2458186.313,2458186.313,2018-03-08.8126953,2.12,-1.6,17.034,14.223,0.016,g
2458186.619,2458186.62,2018-03-09.1191547,1.52,-1.45,17.092,14.209,0.015,g
2458188.62,2458188.62,2018-03-11.1196659,1.42,-1.45,17.111,14.206,0.015,g
2458190.32,2458190.32,2018-03-12.8196807,2.36,-1.6,17.015,14.184,0.016,g
2458190.628,2458190.628,2018-03-13.1276109,1.45,-1.45,17.097,14.203,0.015,g
2458192.307,2458192.307,2018-03-14.8069891,1.53,-1.6,17.025,14.207,0.016,g
2458192.612,2458192.612,2018-03-15.1120305,1.39,-1.45,17.085,14.212,0.015,g
2458194.295,2458194.296,2018-03-16.7954035,1.41,-1.6,17.037,14.219,0.016,g
2458194.603,2458194.603,2018-03-17.1029243,1.46,-1.45,17.104,14.211,0.015,g
2458195.293,2458195.293,2018-03-17.7925349,1.52,-1.6,17.033,14.205,0.016,g
2458196.292,2458196.293,2018-03-18.7923776,1.6,-1.6,17.021,14.208,0.016,g
2458196.59,2458196.591,2018-03-19.0903599,1.42,-1.45,17.104,14.21,0.015,g
2458197.302,2458197.302,2018-03-19.8020287,1.57,-1.6,17.029,14.226,0.016,g
2458198.298,2458198.298,2018-03-20.7978701,1.49,-1.6,17.038,14.215,0.016,g
2458198.588,2458198.588,2018-03-21.0878996,1.43,-1.45,17.101,14.212,0.015,g
2458200.595,2458200.595,2018-03-23.0949905,1.43,-1.45,17.1,14.209,0.015,g
2458205.585,2458205.584,2018-03-28.0846517,1.4,-1.45,17.023,14.201,0.016,g
2458206.529,2458206.528,2018-03-29.0289202,1.43,-1.45,16.975,14.201,0.017,g
